2025-09-07 at 17:45:29 | INFO | Redis подключен успешно
2025-09-07 at 17:45:31 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 17:45:37 | INFO | [READY] tg_id=7022782558, room_id=1000_9c9f3772
2025-09-07 at 17:46:21 | INFO | Бот остановлен...
2025-09-07 at 17:46:21 | INFO | Redis соединение закрыто
2025-09-07 at 17:46:34 | INFO | Бот запущен...
2025-09-07 at 17:46:34 | INFO | Redis подключен успешно
2025-09-07 at 17:46:35 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 17:46:40 | INFO | [READY] tg_id=7022782558, room_id=1000_9c9f3772
2025-09-07 at 17:47:00 | INFO | Бот остановлен...
2025-09-07 at 17:47:00 | INFO | Redis соединение закрыто
2025-09-07 at 17:47:12 | INFO | Бот запущен...
2025-09-07 at 17:47:12 | INFO | Redis подключен успешно
2025-09-07 at 17:47:36 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 17:47:40 | INFO | [READY] tg_id=7022782558, room_id=1000_9c9f3772
2025-09-07 at 17:51:03 | INFO | Бот остановлен...
2025-09-07 at 17:51:03 | INFO | Redis соединение закрыто
2025-09-07 at 17:51:10 | INFO | Бот запущен...
2025-09-07 at 17:51:10 | INFO | Redis подключен успешно
2025-09-07 at 17:51:12 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 17:51:26 | INFO | Бот запущен...
2025-09-07 at 17:51:26 | INFO | Redis подключен успешно
2025-09-07 at 17:51:29 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 17:51:39 | INFO | [READY] tg_id=7022782558, room_id=1000_9c9f3772
2025-09-07 at 17:51:56 | INFO | Бот остановлен...
2025-09-07 at 17:51:56 | INFO | Redis соединение закрыто
2025-09-07 at 17:52:07 | INFO | Бот запущен...
2025-09-07 at 17:52:07 | INFO | Redis подключен успешно
2025-09-07 at 17:52:09 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 17:52:41 | INFO | [READY] tg_id=7022782558, room_id=1000_9c9f3772
2025-09-07 at 18:00:45 | INFO | Бот остановлен...
2025-09-07 at 18:00:45 | INFO | Redis соединение закрыто
2025-09-07 at 18:00:58 | INFO | Бот запущен...
2025-09-07 at 18:00:58 | INFO | Redis подключен успешно
2025-09-07 at 18:00:59 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 18:01:15 | INFO | [READY] tg_id=7022782558, room_id=1000_9c9f3772
2025-09-07 at 18:01:43 | INFO | Бот остановлен...
2025-09-07 at 18:01:43 | INFO | Redis соединение закрыто
2025-09-07 at 18:01:55 | INFO | Бот запущен...
2025-09-07 at 18:01:55 | INFO | Redis подключен успешно
2025-09-07 at 18:01:56 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 18:02:30 | INFO | [READY] tg_id=7022782558, room_id=100_42f14f09
2025-09-07 at 18:02:48 | INFO | Бот остановлен...
2025-09-07 at 18:02:48 | INFO | Redis соединение закрыто
2025-09-07 at 18:03:00 | INFO | Бот запущен...
2025-09-07 at 18:03:00 | INFO | Redis подключен успешно
2025-09-07 at 18:03:01 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 18:03:30 | INFO | Создана новая комната 1000_c5461ca6 пользователем 5254325840
2025-09-07 at 18:03:52 | INFO | Игрок 7022782558 присоединился к комнате 1000_c5461ca6
